Speaker,Initials,Order,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Meredith,MP,12,3,4,32,1,290,0.003448276
Meredith,MP,12,3,5,33,0,292,0
Meredith,MP,12,3,6,34,2,237,0.008438819
Meredith,MP,12,3,7,35,0,240,0
Meredith,MP,12,3,8,36,11,514,0.021400778
Meredith,MP,12,3,9,37,1,165,0.006060606
Meredith,MP,12,3,10,38,3,468,0.006410256
Meredith,MP,12,3,11,39,2,303,0.00660066
Meredith,MP,12,3,12,40,0,228,0
Meredith,MP,12,3,13,41,2,190,0.010526316
Meredith,MP,12,3,14,42,2,188,0.010638298
Meredith,MP,12,3,15,43,1,152,0.006578947
Meredith,MP,12,3,16,44,12,220,0.054545455
Meredith,MP,12,3,17,45,2,283,0.007067138
Meredith,MP,12,3,18,46,0,339,0
Meredith,MP,12,3,19,47,0,360,0
Meredith,MP,12,3,20,48,0,345,0
Meredith,MP,12,3,21,49,5,306,0.016339869
Meredith,MP,12,3,22,50,7,339,0.020648968
Meredith,MP,12,3,23,51,6,449,0.013363029
Meredith,MP,12,4,1,52,25,540,0.046296296
Meredith,MP,12,4,2,53,0,585,0
Meredith,MP,12,4,3,54,14,552,0.025362319
Meredith,MP,12,4,4,55,1,505,0.001980198
Meredith,MP,12,4,5,56,3,258,0.011627907
Meredith,MP,12,4,6,57,1,294,0.003401361
Meredith,MP,12,4,7,58,5,273,0.018315018
Meredith,MP,12,4,8,59,1,251,0.003984064
Meredith,MP,12,4,9,60,0,316,0
Meredith,MP,12,4,10,61,0,254,0
Meredith,MP,12,4,11,62,1,335,0.002985075
Meredith,MP,12,4,12,63,1,308,0.003246753
Meredith,MP,12,4,13,64,1,191,0.005235602
Meredith,MP,12,4,14,65,9,607,0.014827018
Meredith,MP,12,5,1,66,7,551,0.012704174
Meredith,MP,12,5,2,67,23,256,0.08984375
Meredith,MP,12,5,3,68,1,311,0.003215434
Meredith,MP,12,5,4,69,0,290,0
Meredith,MP,12,5,5,70,1,430,0.002325581
Meredith,MP,12,5,6,71,1,400,0.0025
Meredith,MP,12,5,7,72,5,287,0.017421603
Meredith,MP,12,5,8,73,2,262,0.007633588
Meredith,MP,12,5,9,74,1,304,0.003289474
Meredith,MP,12,5,10,75,36,234,0.153846154
Meredith,MP,12,5,11,76,6,281,0.021352313
Meredith,MP,12,5,12,77,2,223,0.00896861
Meredith,MP,12,5,13,78,3,374,0.00802139
Meredith,MP,12,5,14,79,0,200,0
Meredith,MP,12,5,15,80,9,236,0.038135593
Meredith,MP,12,5,16,81,3,250,0.012
Meredith,MP,12,5,17,82,0,282,0
Meredith,MP,12,5,18,83,1,206,0.004854369
Meredith,MP,12,5,19,84,2,231,0.008658009
Meredith,MP,12,5,20,85,0,244,0
Meredith,MP,12,5,21,86,1,232,0.004310345
Meredith,MP,12,5,22,87,0,274,0
Meredith,MP,12,5,23,88,0,199,0
Meredith,MP,12,5,24,89,8,319,0.02507837
Meredith,MP,12,5,25,90,1,276,0.003623188
Meredith,MP,12,5,26,91,2,218,0.009174312
Meredith,MP,12,6,1,92,4,313,0.012779553
Meredith,MP,12,6,2,93,6,231,0.025974026
Meredith,MP,12,6,3,94,9,297,0.03030303
Meredith,MP,12,6,4,95,6,481,0.012474012
Meredith,MP,12,6,5,96,3,306,0.009803922
Meredith,MP,12,6,6,97,4,314,0.012738854
Meredith,MP,12,6,7,98,8,305,0.026229508
